brand,generic
ace,paracetamol
alatrol,cetirizine
aldactone,spironolactone
allopurinol,allopurinol
amaryl,glimepiride
amdocal,amlodipine
amitryn,amitriptyline
amlodipin,amlodipine
amodis,metronidazole
amoxil,amoxicillin
anaflex,naproxen
angilock,losartan
angised,glyceryl trinitrate
aspirin,aspirin
atenolol,atenolol
atorva,atorvastatin
atova,atorvastatin
azin,azithromycin
azithrocin,azithromycin
bigmet,metformin
bisocard,bisoprolol
camlodin,amlodipine
carbatol,carbamazepine
cardiprin,aspirin
cardipro,atenolol
cef-3,ceftriaxone
cef-a,cefixime
cefixime,cefixime
ceftron,ceftriaxone
cetizin,cetirizine
cipro-a,ciprofloxacin
ciprocin,ciprofloxacin
clarithro,clarithromycin
clofenac,diclofenac
clopid,clopidogrel
colchicine,colchicine
comet,metformin
comprid,glimepiride
cortan,prednisolone
crestor,rosuvastatin
deltasone,prednisolone
deslor,desloratadine
dexa,dexamethasone
diamicron,gliclazide
diclofen,diclofenac
digoxin,digoxin
dilantin,phenytoin
disprin,aspirin
domperidone,domperidone
doxicap,doxycycline
doxin,doxycycline
easium,diazepam
ecosprin,aspirin
eltroxin,levothyroxine
emistat,ondansetron
enalapril,enalapril
encilor,loratadine
epilep,phenytoin
epival,sodium valproate
etorix,etoricoxib
fast,paracetamol
fenadin,fexofenadine
fexo,fexofenadine
filmet,metronidazole
fimoxyl,amoxicillin
finix,esomeprazole
flagyl,metronidazole
flamex,ibuprofen
fluconazole,fluconazole
fludac,fluoxetine
flugal,fluconazole
frusemide,furosemide
glucophage,metformin
ibufen,ibuprofen
indever,propranolol
indomet,indomethacin
isoniazid,isoniazid
isordil,isosorbide dinitrate
januvia,sitagliptin
ketoconazole,ketoconazole
ketorol,ketorolac
klaricid,clarithromycin
lanoxin,digoxin
lasix,furosemide
levoflox,levofloxacin
levox,levofloxacin
lipitor,atorvastatin
losartan,losartan
losatan,losartan
losectil,omeprazole
maxpro,esomeprazole
metfo,metformin
monas,montelukast
montair,montelukast
montene,montelukast
morphine,morphine
motigut,domperidone
moxacil,amoxicillin
napa,paracetamol
napa extra,paracetamol
naprox,naproxen
neofloxin,ciprofloxacin
neotack,ranitidine
nexum,esomeprazole
nitrocard,glyceryl trinitrate
omep,omeprazole
omidon,domperidone
ondansetron,ondansetron
oradexon,dexamethasone
panto,pantoprazole
pantonix,pantoprazole
paracet,paracetamol
plavix,clopidogrel
predsol,prednisolone
prodep,fluoxetine
profen,ibuprofen
prohibit,ramipril
rabe,rabeprazole
ramipril,ramipril
ranitidine,ranitidine
renova,paracetamol
rifampicin,rifampicin
rivarox,rivaroxaban
rosuva,rosuvastatin
salbutamol,salbutamol
seclo,omeprazole
secrin,glimepiride
sedil,diazepam
sergel,esomeprazole
sertral,sertraline
sildenafil,sildenafil
simva,simvastatin
sitagen,sitagliptin
spiro,spironolactone
tegretol,carbamazepine
theophylline,theophylline
thyrin,levothyroxine
thyrox,levothyroxine
torix,etoricoxib
tramadol,tramadol
tramax,tramadol
tufnil,tolfenamic acid
valpro,sodium valproate
ventolin,salbutamol
voltalin,diclofenac
warf,warfarin
warfin,warfarin
xarelto,rivaroxaban
xpa,paracetamol
zimax,azithromycin
zoloft,sertraline
zyloric,allopurinol
