disease_bn,symptoms_bn
ফাঙ্গাস,শরীর_ব্যথা|জ্বলুনি|চুলকানি|ফুসকুড়ি
ফাঙ্গাস,শরীর_ব্যথা|ফুসকুড়ি
ফাঙ্গাস,জ্বলুনি|ফুসকুড়ি
ফাঙ্গাস,চুলকানি|ফুসকুড়ি
ফাঙ্গাস,শরীর_ব্যথা|জ্বলুনি
ফাঙ্গাস,শরীর_ব্যথা|চুলকানি
ফাঙ্গাস,জ্বলুনি|চুলকানি
ফাঙ্গাস,শরীর_ব্যথা|জ্বলুনি|ফুসকুড়ি
ফাঙ্গাস,শরীর_ব্যথা|চুলকানি|ফুসকুড়ি
ফাঙ্গাস,জ্বলুনি|চুলকানি|ফুসকুড়ি
ফাঙ্গাস,শরীর_ব্যথা|জ্বলুনি|চুলকানি
ডায়েবেটিস,অধিক_ক্ষুধা|অতিরিক্ত_মুত্রনিষ্কাসন
ডায়েবেটিস,অধিক_ক্ষুধা|চোখে_সমস্যা
ডায়েবেটিস,অধিক_ক্ষুধা|অস্থিবাধা
ডায়েবেটিস,অধিক_ক্ষুধা|জড়তা
ডায়েবেটিস,অতিরিক্ত_মুত্রনিষ্কাসন|চোখে_সমস্যা
ডায়েবেটিস,অতিরিক্ত_মুত্রনিষ্কাসন|অস্থিবাধা
ডায়েবেটিস,অতিরিক্ত_মুত্রনিষ্কাসন|জড়তা
ডায়েবেটিস,চোখে_সমস্যা|অস্থিবাধা
ডায়েবেটিস,চোখে_সমস্যা|জড়তা
ডায়েবেটিস,অস্থিবাধা|জড়তা
ডায়েবেটিস,অধিক_ক্ষুধা|অতিরিক্ত_মুত্রনিষ্কাসন|চোখে_সমস্যা
ডায়েবেটিস,অধিক_ক্ষুধা|অতিরিক্ত_মুত্রনিষ্কাসন|অস্থিবাধা
ডায়েবেটিস,অধিক_ক্ষুধা|অতিরিক্ত_মুত্রনিষ্কাসন|জড়তা
ডায়েবেটিস,অধিক_ক্ষুধা|চোখে_সমস্যা|অস্থিবাধা
ডায়েবেটিস,অধিক_ক্ষুধা|চোখে_সমস্যা|জড়তা
ডায়েবেটিস,অধিক_ক্ষুধা|অস্থিবাধা|জড়তা
ডায়েবেটিস,অতিরিক্ত_মুত্রনিষ্কাসন|চোখে_সমস্যা|অস্থিবাধা
ডায়েবেটিস,অতিরিক্ত_মুত্রনিষ্কাসন|চোখে_সমস্যা|জড়তা
ডায়েবেটিস,অতিরিক্ত_মুত্রনিষ্কাসন|অস্থিবাধা|জড়তা
ডায়েবেটিস,চোখে_সমস্যা|অস্থিবাধা|জড়তা
ডায়েবেটিস,অধিক_ক্ষুধা|অতিরিক্ত_মুত্রনিষ্কাসন|চোখে_সমস্যা|অস্থিবাধা
ডায়েবেটিস,অধিক_ক্ষুধা|অতিরিক্ত_মুত্রনিষ্কাসন|চোখে_সমস্যা|জড়তা
ডায়েবেটিস,অধিক_ক্ষুধা|অতিরিক্ত_মুত্রনিষ্কাসন|অস্থিবাধা|জড়তা
ডায়েবেটিস,অধিক_ক্ষুধা|চোখে_সমস্যা|অস্থিবাধা|জড়তা
ডায়েবেটিস,অধিক_ক্ষুধা|অতিরিক্ত_মুত্রনিষ্কাসন|চোখে_সমস্যা|অস্থিবাধা|জড়তা
ক্যান্সার,শরীর_ব্যথা|ওজন_কমা|ক্লান্ত_বোধ
ক্যান্সার,শরীর_ব্যথা|ওজন_কমা|শ্বাসকষ্ট
ক্যান্সার,শরীর_ব্যথা|ওজন_কমা|স্তনবৃদ্ধি
ক্যান্সার,শরীর_ব্যথা|ক্লান্ত_বোধ|শ্বাসকষ্ট
ক্যান্সার,শরীর_ব্যথা|ক্লান্ত_বোধ|স্তনবৃদ্ধি
ক্যান্সার,শরীর_ব্যথা|শ্বাসকষ্ট|স্তনবৃদ্ধি
ক্যান্সার,ওজন_কমা|ক্লান্ত_বোধ|শ্বাসকষ্ট
ক্যান্সার,ওজন_কমা|ক্লান্ত_বোধ|স্তনবৃদ্ধি
ক্যান্সার,ওজন_কমা|শ্বাসকষ্ট|স্তনবৃদ্ধি
ক্যান্সার,ক্লান্ত_বোধ|শ্বাসকষ্ট|স্তনবৃদ্ধি
ক্যান্সার,শরীর_ব্যথা|ওজন_কমা|ক্লান্ত_বোধ|শ্বাসকষ্ট
ক্যান্সার,শরীর_ব্যথা|ওজন_কমা|ক্লান্ত_বোধ|স্তনবৃদ্ধি
ক্যান্সার,শরীর_ব্যথা|ওজন_কমা|শ্বাসকষ্ট|স্তনবৃদ্ধি
ক্যান্সার,শরীর_ব্যথা|ক্লান্ত_বোধ|শ্বাসকষ্ট|স্তনবৃদ্ধি
ক্যান্সার,ওজন_কমা|ক্লান্ত_বোধ|শ্বাসকষ্ট|স্তনবৃদ্ধি
ক্যান্সার,শরীর_ব্যথা|ওজন_কমা|ক্লান্ত_বোধ|শ্বাসকষ্ট|স্তনবৃদ্ধি
ডিমনেশিয়া,স্মৃতিশক্তি_লোপ|কথা_বলতে_সমস্যা|কথা_শুনতে_সমস্যা
ডিমনেশিয়া,স্মৃতিশক্তি_লোপ|কথা_বলতে_সমস্যা|ঘুমে_সমস্যা
ডিমনেশিয়া,স্মৃতিশক্তি_লোপ|কথা_বলতে_সমস্যা|বুদ্ধি_লোপ
ডিমনেশিয়া,স্মৃতিশক্তি_লোপ|কথা_শুনতে_সমস্যা|ঘুমে_সমস্যা
ডিমনেশিয়া,স্মৃতিশক্তি_লোপ|কথা_শুনতে_সমস্যা|বুদ্ধি_লোপ
ডিমনেশিয়া,স্মৃতিশক্তি_লোপ|ঘুমে_সমস্যা|বুদ্ধি_লোপ
ডিমনেশিয়া,কথা_বলতে_সমস্যা|কথা_শুনতে_সমস্যা|ঘুমে_সমস্যা
ডিমনেশিয়া,কথা_বলতে_সমস্যা|কথা_শুনতে_সমস্যা|বুদ্ধি_লোপ
ডিমনেশিয়া,কথা_বলতে_সমস্যা|ঘুমে_সমস্যা|বুদ্ধি_লোপ
ডিমনেশিয়া,কথা_শুনতে_সমস্যা|ঘুমে_সমস্যা|বুদ্ধি_লোপ
ডিমনেশিয়া,স্মৃতিশক্তি_লোপ|কথা_বলতে_সমস্যা|কথা_শুনতে_সমস্যা|ঘুমে_সমস্যা
ডিমনেশিয়া,স্মৃতিশক্তি_লোপ|কথা_বলতে_সমস্যা|কথা_শুনতে_সমস্যা|বুদ্ধি_লোপ
ডিমনেশিয়া,স্মৃতিশক্তি_লোপ|কথা_বলতে_সমস্যা|ঘুমে_সমস্যা|বুদ্ধি_লোপ
ডিমনেশিয়া,স্মৃতিশক্তি_লোপ|কথা_শুনতে_সমস্যা|ঘুমে_সমস্যা|বুদ্ধি_লোপ
ডিমনেশিয়া,কথা_বলতে_সমস্যা|কথা_শুনতে_সমস্যা|ঘুমে_সমস্যা|বুদ্ধি_লোপ
ডিমনেশিয়া,স্মৃতিশক্তি_লোপ|কথা_বলতে_সমস্যা|কথা_শুনতে_সমস্যা|ঘুমে_সমস্যা|বুদ্ধি_লোপ
স্ট্রোক,চোখে_সমস্যা|মাথা_ঘোরা|ভারসাম্য_হারা
স্ট্রোক,চোখে_সমস্যা|মাথা_ঘোরা|কথা_জড়িয়ে_আসা
স্ট্রোক,চোখে_সমস্যা|মাথা_ঘোরা|মুখ_বাঁকা
স্ট্রোক,চোখে_সমস্যা|ভারসাম্য_হারা|কথা_জড়িয়ে_আসা
স্ট্রোক,চোখে_সমস্যা|ভারসাম্য_হারা|মুখ_বাঁকা
স্ট্রোক,চোখে_সমস্যা|কথা_জড়িয়ে_আসা|মুখ_বাঁকা
স্ট্রোক,মাথা_ঘোরা|ভারসাম্য_হারা|কথা_জড়িয়ে_আসা
স্ট্রোক,মাথা_ঘোরা|ভারসাম্য_হারা|মুখ_বাঁকা
স্ট্রোক,মাথা_ঘোরা|কথা_জড়িয়ে_আসা|মুখ_বাঁকা
স্ট্রোক,ভারসাম্য_হারা|কথা_জড়িয়ে_আসা|মুখ_বাঁকা
স্ট্রোক,চোখে_সমস্যা|মাথা_ঘোরা|ভারসাম্য_হারা|কথা_জড়িয়ে_আসা
স্ট্রোক,চোখে_সমস্যা|মাথা_ঘোরা|ভারসাম্য_হারা|মুখ_বাঁকা
স্ট্রোক,চোখে_সমস্যা|মাথা_ঘোরা|কথা_জড়িয়ে_আসা|মুখ_বাঁকা
স্ট্রোক,চোখে_সমস্যা|ভারসাম্য_হারা|কথা_জড়িয়ে_আসা|মুখ_বাঁকা
স্ট্রোক,মাথা_ঘোরা|ভারসাম্য_হারা|কথা_জড়িয়ে_আসা|মুখ_বাঁকা
স্ট্রোক,চোখে_সমস্যা|মাথা_ঘোরা|ভারসাম্য_হারা|কথা_জড়িয়ে_আসা|মুখ_বাঁকা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|র‌্যাশ|দ্রুত_নাড়ি_স্পন্দন|চেতনা_হারা|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|র‌্যাশ|দ্রুত_নাড়ি_স্পন্দন|চেতনা_হারা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|র‌্যাশ|দ্রুত_নাড়ি_স্পন্দন|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|র‌্যাশ|দ্রুত_নাড়ি_স্পন্দন
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|র‌্যাশ|চেতনা_হারা|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|র‌্যাশ|চেতনা_হারা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|র‌্যাশ|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|র‌্যাশ
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|দ্রুত_নাড়ি_স্পন্দন|চেতনা_হারা|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|দ্রুত_নাড়ি_স্পন্দন|চেতনা_হারা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|দ্রুত_নাড়ি_স্পন্দন|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|দ্রুত_নাড়ি_স্পন্দন
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|চেতনা_হারা|রক্তবমি
