year,division,cases,deaths
2024,Dhaka,58158,394
2024,Mymensingh,3079,16
2024,Chittagong,15451,55
2024,Khulna,9990,35
2024,Rajshahi,3928,8
2024,Rangpur,1507,3
2024,Barisal,8763,64
2024,Sylhet,338,0
2023,Dhaka,169321,1163
2023,Mymensingh,8268,16
2023,Chittagong,44435,124
2023,Khulna,34722,125
2023,Rajshahi,19409,60
2023,Rangpur,5540,10
2023,Barisal,38049,206
2023,Sylhet,1435,1
2022,Dhaka,43325,175
2022,Mymensingh,1020,6
2022,Chittagong,9109,69
2022,Khulna,3350,12
2022,Rajshahi,2111,7
2022,Rangpur,175,0
2022,Barisal,3167,12
2022,Sylhet,125,0
2021,Dhaka,25343,95
2021,Mymensingh,312,4
2021,Chittagong,1290,2
2021,Khulna,504,2
2021,Rajshahi,206,1
2021,Rangpur,70,0
2021,Barisal,657,1
2021,Sylhet,47,0
2020,Dhaka,320,0
2020,Mymensingh,250,0
2020,Chittagong,210,0
2020,Khulna,160,0
2020,Rajshahi,140,0
2020,Rangpur,110,0
2020,Barisal,120,0
2020,Sylhet,95,0
2019,Dhaka,23000,0
2019,Mymensingh,18000,0
2019,Chittagong,15000,0
2019,Khulna,12000,0
2019,Rajshahi,10000,0
2019,Rangpur,8000,0
2019,Barisal,9000,0
2019,Sylhet,6354,0
