year_month,cases
2001-01,0
2001-02,0
2001-03,0
2001-04,0
2001-05,5
2001-06,152
2001-07,310
2001-08,24
2001-09,655
2001-10,514
2001-11,159
2001-12,611
2002-01,0
2002-02,0
2002-03,0
2002-04,0
2002-05,0
2002-06,566
2002-07,3281
2002-08,0
2002-09,1713
2002-10,121
2002-11,10
2002-12,541
2003-01,0
2003-02,0
2003-03,0
2003-04,2
2003-05,1
2003-06,4
2003-07,4
2003-08,0
2003-09,3
2003-10,372
2003-11,100
2003-12,0
2004-01,0
2004-02,0
2004-03,1
2004-04,0
2004-05,1
2004-06,1209
2004-07,1261
2004-08,143
2004-09,511
2004-10,395
2004-11,51
2004-12,362
2005-01,1
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,3
2005-07,174
2005-08,2
2005-09,337
2005-10,187
2005-11,19
2005-12,325
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,972
2006-07,680
2006-08,100
2006-09,211
2006-10,92
2006-11,0
2006-12,145
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,85
2007-07,179
2007-08,0
2007-09,163
2007-10,0
2007-11,0
2007-12,39
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,160
2008-08,473
2008-09,334
2008-10,186
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,1
2009-06,0
2009-07,4
2009-08,125
2009-09,188
2009-10,156
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,61
2010-08,183
2010-09,120
2010-10,45
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,61
2011-07,255
2011-08,691
2011-09,193
2011-10,114
2011-11,36
2011-12,9
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,10
2012-07,129
2012-08,122
2012-09,266
2012-10,117
2012-11,27
2012-12,0
2013-01,6
2013-02,7
2013-03,3
2013-04,3
2013-05,12
2013-06,50
2013-07,172
2013-08,339
2013-09,385
2013-10,501
2013-11,218
2013-12,53
2014-01,15
2014-02,7
2014-03,2
2014-04,0
2014-05,8
2014-06,9
2014-07,82
2014-08,80
2014-09,76
2014-10,63
2014-11,22
2014-12,11
2015-01,0
2015-02,0
2015-03,2
2015-04,6
2015-05,10
2015-06,28
2015-07,171
2015-08,765
2015-09,965
2015-10,869
2015-11,271
2015-12,75
2016-01,13
2016-02,3
2016-03,17
2016-04,38
2016-05,71
2016-06,274
2016-07,926
2016-08,1461
2016-09,1564
2016-10,1097
2016-11,542
2016-12,154
2017-01,92
2017-02,58
2017-03,36
2017-04,73
2017-05,134
2017-06,267
2017-07,286
2017-08,346
2017-09,430
2017-10,512
2017-11,409
2017-12,126
2018-01,26
2018-02,7
2018-03,19
2018-04,29
2018-05,52
2018-06,295
2018-07,946
2018-08,1796
2018-09,3087
2018-10,2406
2018-11,1192
2018-12,293
2019-01,38
2019-02,18
2019-03,17
2019-04,58
2019-05,193
2019-06,1884
2019-07,16253
2019-08,52636
2019-09,16856
2019-10,8143
2019-11,4011
2019-12,1247
2020-01,111
2020-02,45
2020-03,27
2020-04,25
2020-05,10
2020-06,23
2020-07,68
2020-08,163
2020-09,47
2020-10,109
2020-11,546
2020-12,19
2021-01,32
2021-02,9
2021-03,13
2021-04,3
2021-05,43
2021-06,272
2021-07,2286
2021-08,7698
2021-09,7841
2021-10,5458
2021-11,3567
2021-12,1207
2022-01,126
2022-02,20
2022-03,20
2022-04,23
2022-05,163
2022-06,737
2022-07,1571
2022-08,3521
2022-09,9911
2022-10,21932
2022-11,19334
2022-12,5024
2023-01,566
2023-02,166
2023-03,111
2023-04,143
2023-05,1036
2023-06,5956
2023-07,43854
2023-08,71976
2023-09,79598
2023-10,67769
2023-11,40716
2023-12,9288
2024-01,1055
2024-02,339
2024-03,311
2024-04,504
2024-05,644
2024-06,798
2024-07,2669
2024-08,6521
2024-09,18097
2024-10,30879
2024-11,29652
2024-12,9745
