name,kind,latitude,longitude,operator,beds,emergency,speciality
Shariatpur Medical Hall,pharmacy,23.719360177909,90.3799954880086,,,,
CDM Hospital,hospital,24.3719678667431,88.5818239561759,,,no,
Epic Health Care,hospital,22.3608949884747,91.8304573453713,,,,
Afia Dental Care,dentist,23.0392109801703,89.632384794035,,,,
Rayan Clinic and Diagonestic Center,clinic,22.8123230871852,89.5569617470707,,,,
"Prime Clinic & Diagnostic Center, Patuakhli",clinic,22.3647012945248,90.3268968857757,,,,
"Hahnemann is Homeo, Halishahar Housing Estate, Chattogram",pharmacy,22.3384152270775,91.7741236637895,,,,
Sikder Medical College Hospital,hospital,23.740943997676,90.3587458547212,,,,
Patharghata Upazila Health Complex,hospital,22.0326458300597,89.9659096899455,,,,
BNK Hospital Limited,hospital,23.7435195888831,90.4160756416761,,,,
Maa O Shishu Clinic,clinic,24.8796535393545,90.7315692198417,,,,
Motherpar Isra Health Center,clinic,22.3638703964633,89.8779272830851,,,,
Community Clinic,clinic,25.5882662553469,89.8571119162011,,,,
"Fuad Pharmacy, Pharmacy",pharmacy,26.1067767368118,88.8155292701072,,,,
Alam Ex Re Diagonestics,clinic,25.7628308721427,89.2343937588076,,,,
Shahidul Pharmacy,pharmacy,24.3223508556313,89.6740717703733,,,,
Bangol Homieo,pharmacy,23.7391907549892,90.3875759974197,,,,
Islamia Drugs House,pharmacy,23.588736682672,89.8335667310915,,,,
"BGMEA HEALTH CENTRE And SCHOOL, Hospital",hospital,23.9567268747846,90.3799725215939,,,,
Dighinala Upazila Health Complex,hospital,23.2495548403097,92.0658015728301,,,,
Mononiramoy,hospital,23.7681232407255,90.366880324113,,,,
ময়নামতি মেডিকেল কলেজ ও হাসপাতাল,hospital,23.4556453875026,91.2052387824421,,,,
SM pharma,pharmacy,23.8182490333598,90.3772901449403,,,,
আইডিয়াল ডেন্টাল কেয়ার,dentist,22.6810906466826,91.6245119727412,,,,
Mirpur Dental,dentist,23.7980005345874,90.3525380495928,,,,
Satkania Upazila Health Complex,hospital,22.0848886399786,92.0543240651766,,,,
"Maxi Clinic, Bagerhat",clinic,22.6667771220903,89.7909344437132,,,,
Dr. Md Ashraful Alam,doctor,23.7918850980321,90.388096932702,,,,
Mollahat Upazila Health Complex,hospital,22.9280407925516,89.8010798993145,,,,
"The Renaissance Pharmacy, Homeopathic pharmacy",pharmacy,24.9073229561016,89.9499325252113,,,,
"Puspo Homio Hall, Unnamed Road, Chattogram",pharmacy,22.2467278513763,91.7959547497001,,,,
Gulf Pharmacy,pharmacy,24.9104146210871,91.849037426317,,,,
Rayhan Pharmacy,pharmacy,23.8190931748284,90.3793515902068,,,,
"Uttara EPZ Medical Center, Hospital",hospital,25.8583319299688,88.8647012859795,,,,
Lajj Pharma,pharmacy,23.7503834455729,90.3872666213736,,,,
Talha Medical Corner,pharmacy,23.7701236657368,90.3488833721711,,,,
"Modern Herbal & Homeo Center, Eidgah Kacharastar Matha, Bow Bazar, Chattogram",pharmacy,22.3448256228056,91.8005389801837,,,,
EPI Tika Kendra Chowkider Bari,clinic,22.7332670719284,90.6518625174415,,,,
"Hemayetpur Eye Hospital, Hospital",hospital,23.7933791722727,90.2746616195697,,,,
Bismillah Pharmacy,pharmacy,23.7798074461113,90.3547103874383,,,,
Safa Pharma,pharmacy,23.7954968601095,90.352042092382,,,,
Care Pharmacy,pharmacy,23.7905705641573,90.4075012900057,,,,
Bismillah Pharmacy,pharmacy,23.7841877448907,90.3582637276506,,,,
চেকআপ ডায়াগনস্টিক সেন্টার,laboratory,24.6636594382859,90.8420495768292,,,,
Bajerdanga Community Clinic,clinic,22.9832062882881,89.4566377421585,,,,
Arogya Homeo Chikitshaloy,pharmacy,23.7607095311875,90.3565966509285,,,,
Maria Pharmacy,pharmacy,23.7700655791479,90.3559122685343,,,,
Kaharole Upazila Health Complex,hospital,25.7937280759828,88.6066759638092,,,,
"City Pharmacy, Hawker Goli, Chattogram",pharmacy,22.2747096616547,91.7861492640915,,,,
Chowdhury Dental Care,dentist,23.8242306947406,90.3624492310003,,,,
Medent Dental and Implant center,dentist,23.7922755270819,90.3653429992519,,,,
Doa Pharma,pharmacy,23.772321484568,90.3465845514067,,,,
"Dr. Peer Ali Bari, Public medical center",pharmacy,25.0402443500936,90.167220959768,,,,
Palash Surgical,pharmacy,23.6031534723114,89.8366374413191,,,,
America Australia Bangladesh Friendship Hospital,hospital,25.3931067995396,88.9937417749832,,,,
